Datum export;20230125 15:06;;;StationsCode;NL01485;NL01487;NL01488;NL01489;NL01491;NL01493;NL01494;NL01495;NL01496;NL01912;NL01913;NL10131;NL10136;NL10138;NL10230;NL10240;NL10241;NL10247;NL10404;NL10418;NL10444;NL10448;NL10449;NL10538;NL10636;NL10641;NL10643;NL10644;NL10738;NL10741;NL10742;NL10821;NL10934;NL10937;NL10938
Periode;20220101 00:00 - 20220201 00:00;;;StationsNaam;Hoogvliet-Leemkuil;Rotterdam Zuid-Pleinweg;Rotterdam Zuid-Zwartewaalstraat;Ridderkerk-Hogeweg;Rotterdam-Oost Sidelinge A13;Rotterdam Noord -Statenweg;Schiedam-Alphons Arienstraat;Maassluis-Kwartellaan;Hoek v. Holland-Berghaven;Ridderkerk-Voorweg;Sluiskil-Stroodorpestraat;Vredepeel-Vredeweg;Heerlen-Looierstraat;Heerlen-Jamboreepad;Biest Houtakker-Biestsestraat;Breda-Tilburgseweg;Breda-Bastenakenstraat;Veldhoven-Europalaan;Den Haag-Rebecquestraat;Rotterdam-Schiedamsevest;De Zilk-Vogelaarsdreef;Rotterdam-Bentinckplein;Vlaardingen-Riouwlaan;Wieringerwerf-Medemblikkerweg;Utrecht-Kardinaal de Jongweg;Breukelen-Snelweg;Utrecht-Griftpark;Cabauw-Wielsekade;Wekerom-Riemterdijk;Nijmegen-Graafseweg;Nijmegen-Ruyterstraat;Enschede-Winkelhorst.;Kollumerwaard-Hooge Zuidwal;Groningen-Europaweg;Groningen-Nijensteinheerd
Bron;https://data.rivm.nl/data/luchtmeetnet;;;Latitude,Longitude;(51.867411,4.355242);(51.891147,4.48069);(51.893617,4.487528);(51.869431,4.580058);(51.938472,4.430692);(51.927111,4.461344);(51.921389,4.401389);(51.932039,4.228025);(51.977803,4.121944);(51.861722,4.563806);(51.27938,3.83859);(51.54052,5.85307);(50.887959,5.970496);(50.900317,5.986853);(51.51844,5.14845);(51.593533,4.824944);(51.60308,4.781016);(51.407365,5.393328);(52.077148,4.289185);(51.914233,4.479923);(52.296556,4.510817);(51.92711,4.46134);(51.914883,4.32943);(52.803657,5.050509);(52.105031,5.124464);(52.20153,4.987444);(52.101308,5.128183);(51.974489,4.923301);(52.111621,5.708419);(51.841372,5.857777);(51.838221,5.856938);(52.234504,6.919494);(53.330425,6.276815);(53.217796,6.578901);(53.246535,6.608937)
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;StationsGebied;stad;stad;stad;stad;stad;stad;stad;stad;voorstad;stad;regionaal;regionaal;stad;stad;regionaal;stad;stad;stad;stad;stad;regionaal;stad;stad;regionaal;stad;regionaal;stad;regionaal;regionaal;stad;stad;stad;regionaal;stad;stad
;;;;StationsType;achtergrond;verkeer;achtergrond;verkeer;verkeer;verkeer;achtergrond;achtergrond;industrie;achtergrond;industrie;achtergrond;verkeer;achtergrond;achtergrond;verkeer;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;verkeer;verkeer;achtergrond;verkeer;verkeer;achtergrond;achtergrond;achtergrond;verkeer;achtergrond;achtergrond;achtergrond;verkeer;achtergrond
;;;;Meetprincipe;Fotospectrometrie;B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);Fotospectrometrie;B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);Fotospectrometrie;Fotospectrometrie;B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA)
;;;;Meetopstelling;Palas model Fidas 200;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;Palas model Fidas 200;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;Palas model Fidas 200;Palas model Fidas 200;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL01485;NL01487;NL01488;NL01489;NL01491;NL01493;NL01494;NL01495;NL01496;NL01912;NL01913;NL10131;NL10136;NL10138;NL10230;NL10240;NL10241;NL10247;NL10404;NL10418;NL10444;NL10448;NL10449;NL10538;NL10636;NL10641;NL10643;NL10644;NL10738;NL10741;NL10742;NL10821;NL10934;NL10937;NL10938
PM2.5;uur;µg/m³;20220101 00:00;20220101 01:00;53.2;99.4;99.6;54;61.4;51.1;66.8;20.4;3.5;69.9;119.4;24.645;13.708;129.24;16.452;125.908;289.862;77.525;286.138;78.505;13.757;71.44;143.352;15.864;162.952;32.338;84.973;68.029;36.248;134.826;170.792;187.06;31.799;69.186;93.568
PM2.5;uur;µg/m³;20220101 01:00;20220101 02:00;33.1;49.9;52.6;26.9;32.9;31.8;33.2;25.9;10.2;27.7;25;34.19;17.51;21.822;15.168;31.426;26.242;20.009;126.398;29.094;19.441;32.367;32.053;19.509;62.345;73.008;56.24;44.872;43.804;39.864;52.418;76.771;28.957;31.171;38.992
PM2.5;uur;µg/m³;20220101 02:00;20220101 03:00;23.9;25.5;28.1;20.6;17.5;17.4;17.4;13.9;12.5;21.3;13.1;16.628;18.245;17.344;14.031;26.183;26.428;24.85;64.54;14.002;14.825;20.46;13.414;13.345;43.519;57.69;37.022;18.049;45.068;44.597;48.684;34.729;17.853;19.372;21.077
PM2.5;uur;µg/m³;20220101 03:00;20220101 04:00;18.7;23.3;29.9;20.1;17.2;20.8;19.9;21;14.9;21.5;9.3;15.07;11.777;14.668;14.208;16.609;10.562;16.295;45.342;20.068;9.543;21.646;16.716;10.013;21.871;23.91;15.54;20.009;23.714;27.741;36.13;44.058;15.325;26.791;21.293
PM2.5;uur;µg/m³;20220101 04:00;20220101 05:00;15.9;19.1;21.1;18.6;15.9;17.5;15.1;17;15.8;19.5;8.2;11.865;9.396;6.043;11.356;15.991;11.366;13.345;25.262;20.274;10.582;18.676;18.441;13.61;28.574;14.756;25.086;18.451;21.185;20.068;24.253;40.217;25.507;21.94;21.92
PM2.5;uur;µg/m³;20220101 05:00;20220101 06:00;11.8;14.3;15;12.3;12.5;13.8;12.1;14;14.8;12.9;9.7;17.01;14.09;5.495;6.441;12.894;9.788;14.57;17.363;12.767;12.042;17.314;21.175;7.155;23.086;23.537;20.725;13.277;22.783;13.345;14.727;29.76;14.315;18.735;21.107
PM2.5;uur;µg/m³;20220101 06:00;20220101 07:00;8.6;9.8;10.1;9.6;10;10.2;9.5;10.2;11.5;9.7;11.8;10.552;6.277;5.773;13.394;9.866;10.866;15.756;17.618;10.454;9.288;15.501;13.708;15.031;19.97;17.54;17.785;9.347;16.648;10.797;13.463;23.812;20.646;36.248;25.781
PM2.5;uur;µg/m³;20220101 07:00;20220101 08:00;8.9;9.9;12.1;8.8;8.4;9.1;8.9;8.7;9.6;9.1;20.6;11.571;3.74;3.812;9.092;8.08;6.02;16.452;7.8;9.2;11.444;10.141;9.817;5.915;13.796;7.073;14.649;8.149;14.159;6.603;59.729;22.547;6.181;15.501;19.549
PM2.5;uur;µg/m³;20220101 08:00;20220101 09:00;9.7;10.3;10.4;7.8;9.8;10;10.2;10.4;9.3;8.3;18.8;10.964;2.516;7.394;11.679;9.082;3.738;15.168;7.727;8.984;11.111;11.17;10.66;17.471;10.386;14.149;9.298;6.697;3.173;9.798;7.478;15.58;8.312;12.816;11.317
PM2.5;uur;µg/m³;20220101 09:00;20220101 10:00;13.5;10.6;10.3;8.8;10.7;10.4;11.7;14.5;12.2;9.2;15.3;11.081;2.809;4.057;7.53;11.042;7.054;12.003;6.126;6.403;11.532;13.306;9.621;13.286;11.934;15.384;12.218;6.22;8.886;7.348;9.151;11.816;14.678;14.668;15.58
PM2.5;uur;µg/m³;20220101 10:00;20220101 11:00;23;16.7;16.1;13.4;19.2;18.4;22.7;25.1;19.1;9.2;19.5;7.333;3.125;8.539;6.21;10.65;9.827;11.963;14.658;15.227;13.757;18.49;24.821;11.238;10.464;14.257;8.333;10.248;10.131;7.458;9.249;8.769;13.953;18.324;15.354
PM2.5;uur;µg/m³;20220101 11:00;20220101 12:00;16.7;17.8;17.5;16.5;18.8;17.2;19;20.4;18.2;13.9;12.2;6.346;3.054;6.206;12.228;10.601;10.484;14.678;12.796;13.345;19.46;18.823;15.099;9.886;14.266;12.885;12.483;13.943;6.962;4.54;7.862;14.756;9.249;14.031;10.248
