Datum export;20230126 02:29;;;StationsCode;NL01485;NL01487;NL01488;NL01489;NL01491;NL01493;NL01494;NL01495;NL01496;NL01912;NL01913;NL10131;NL10136;NL10138;NL10230;NL10240;NL10247;NL10404;NL10418;NL10444;NL10448;NL10449;NL10538;NL10636;NL10641;NL10643;NL10644;NL10738;NL10741;NL10742;NL10821;NL10934;NL10937;NL10938
Periode;20220501 00:00 - 20220601 00:00;;;StationsNaam;Hoogvliet-Leemkuil;Rotterdam Zuid-Pleinweg;Rotterdam Zuid-Zwartewaalstraat;Ridderkerk-Hogeweg;Rotterdam-Oost Sidelinge A13;Rotterdam Noord -Statenweg;Schiedam-Alphons Arienstraat;Maassluis-Kwartellaan;Hoek v. Holland-Berghaven;Ridderkerk-Voorweg;Sluiskil-Stroodorpestraat;Vredepeel-Vredeweg;Heerlen-Looierstraat;Heerlen-Jamboreepad;Biest Houtakker-Biestsestraat;Breda-Tilburgseweg;Veldhoven-Europalaan;Den Haag-Rebecquestraat;Rotterdam-Schiedamsevest;De Zilk-Vogelaarsdreef;Rotterdam-Bentinckplein;Vlaardingen-Riouwlaan;Wieringerwerf-Medemblikkerweg;Utrecht-Kardinaal de Jongweg;Breukelen-Snelweg;Utrecht-Griftpark;Cabauw-Wielsekade;Wekerom-Riemterdijk;Nijmegen-Graafseweg;Nijmegen-Ruyterstraat;Enschede-Winkelhorst.;Kollumerwaard-Hooge Zuidwal;Groningen-Europaweg;Groningen-Nijensteinheerd
Bron;https://data.rivm.nl/data/luchtmeetnet;;;Latitude,Longitude;(51.867411,4.355242);(51.891147,4.48069);(51.893617,4.487528);(51.869431,4.580058);(51.938472,4.430692);(51.927111,4.461344);(51.921389,4.401389);(51.932039,4.228025);(51.977803,4.121944);(51.861722,4.563806);(51.27938,3.83859);(51.54052,5.85307);(50.887959,5.970496);(50.900317,5.986853);(51.51844,5.14845);(51.593533,4.824944);(51.407365,5.393328);(52.077148,4.289185);(51.914233,4.479923);(52.296556,4.510817);(51.92711,4.46134);(51.914883,4.32943);(52.803657,5.050509);(52.105031,5.124464);(52.20153,4.987444);(52.101308,5.128183);(51.974489,4.923301);(52.111621,5.708419);(51.841372,5.857777);(51.838221,5.856938);(52.234504,6.919494);(53.330425,6.276815);(53.217796,6.578901);(53.246535,6.608937)
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;StationsGebied;stad;stad;stad;stad;stad;stad;stad;stad;voorstad;stad;regionaal;regionaal;stad;stad;regionaal;stad;stad;stad;stad;regionaal;stad;stad;regionaal;stad;regionaal;stad;regionaal;regionaal;stad;stad;stad;regionaal;stad;stad
;;;;StationsType;achtergrond;verkeer;achtergrond;verkeer;verkeer;verkeer;achtergrond;achtergrond;industrie;achtergrond;industrie;achtergrond;verkeer;achtergrond;achtergrond;verkeer;achtergrond;achtergrond;achtergrond;achtergrond;verkeer;verkeer;achtergrond;verkeer;verkeer;achtergrond;achtergrond;achtergrond;verkeer;achtergrond;achtergrond;achtergrond;verkeer;achtergrond
;;;;Meetprincipe;Fotospectrometrie;B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);Fotospectrometrie;B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);Fotospectrometrie;Fotospectrometrie;B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA)
;;;;Meetopstelling;Palas model Fidas 200;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;Palas model Fidas 200;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;Palas model Fidas 200;Palas model Fidas 200;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL01485;NL01487;NL01488;NL01489;NL01491;NL01493;NL01494;NL01495;NL01496;NL01912;NL01913;NL10131;NL10136;NL10138;NL10230;NL10240;NL10247;NL10404;NL10418;NL10444;NL10448;NL10449;NL10538;NL10636;NL10641;NL10643;NL10644;NL10738;NL10741;NL10742;NL10821;NL10934;NL10937;NL10938
PM2.5;uur;µg/m³;20220501 00:00;20220501 01:00;10.2;11.9;12.1;12.7;11;12.3;11.3;11.2;7.8;12.5;9.9;10.092;15.08;5.833;10.435;6.33;15.57;9.2;11.552;;7.106;17.412;9.68;15.256;13.698;12.992;16.991;10.591;7.879;14.854;11.042;5.574;11.493;5.118
PM2.5;uur;µg/m³;20220501 01:00;20220501 02:00;12.4;12.4;12.2;12.7;12.7;13;13.2;12.5;9.5;13.2;11.9;22.185;8.01;6.692;9.572;15.491;15.609;11.052;10.738;2.443;6.774;17.667;7.466;16.168;17.971;14.766;12.248;15.727;6.566;16.609;8.085;6.113;15.041;8.158
PM2.5;uur;µg/m³;20220501 02:00;20220501 03:00;14.1;14.5;13.9;12.7;14.5;13.7;15.3;14.1;11.8;13.8;12;17.03;15.403;9.249;9.464;16.236;19.157;11.17;14.276;6.868;9.21;17.177;5.511;15.531;14.521;18.167;15.06;11.052;4.019;;11.875;7.661;16.756;8.72
PM2.5;uur;µg/m³;20220501 03:00;20220501 04:00;15.6;17.4;16.3;13.8;15.4;14.5;16.8;15.3;13.7;15;12.6;16.511;12.052;14.57;10.572;18.255;18.471;11.16;12.11;10.425;16.266;21.009;13.629;20.499;8.602;20.646;4.943;8.925;13.639;5.349;11.503;13.414;17.941;12.855
PM2.5;uur;µg/m³;20220501 04:00;20220501 05:00;16;20.3;16.3;15.3;16.6;16.5;22.2;15.8;12.7;14.7;12.7;15.109;10.65;10.052;9.268;17.069;14.6;11.326;15.295;9.092;18.275;23.459;18.177;22.381;10.729;19.843;5.661;14.041;11.875;;12.355;11.787;14.56;6.491
PM2.5;uur;µg/m³;20220501 05:00;20220501 06:00;16.6;21.3;17.6;15.9;16.9;17.9;20.6;16.3;11.3;14.6;13.7;11.346;13.914;9.023;10.425;13.551;18.118;17.804;13.404;9.18;20.862;24.88;13.933;14.237;6.86;20.921;5.134;15.08;13.267;25.84;12.012;7.789;13.698;5.924
PM2.5;uur;µg/m³;20220501 06:00;20220501 07:00;18.8;19.4;19;20.4;17.2;18.8;19.8;17.3;14.2;18;15.5;20.176;13.296;9.043;18.931;15.266;20.842;10.18;17.569;8.356;17.54;20.401;25.105;12.542;9.484;15.403;7.171;12.277;13.718;16.883;13.874;8.592;9.984;15.687
PM2.5;uur;µg/m³;20220501 07:00;20220501 08:00;15.2;16.6;16.3;19.6;17.9;16.9;18.9;15.1;15.1;20.9;16.8;20.186;14.923;16.187;25.389;16.942;23.576;14.276;15.325;25.399;19.206;21.313;20.979;12.199;14.296;16.981;17.951;18.392;14.992;10.983;13.267;3.932;10.738;15.305
PM2.5;uur;µg/m³;20220501 08:00;20220501 09:00;10.9;12.2;11.8;13.6;15.9;13.4;15.7;13;10.5;13.4;16.3;15.648;15.256;9.651;26.409;11.679;24.076;12.052;10.964;24.351;11.258;14.041;8.994;19.745;14.551;12.885;18.441;16.756;16.511;;17.569;7.583;7.428;9.17
PM2.5;uur;µg/m³;20220501 09:00;20220501 10:00;9.9;11;10.3;12;12.2;10;10.1;10.6;8.3;12.2;13.4;19.402;17.04;14.884;20.244;9.964;19.696;6.826;11.63;24.066;11.081;17.314;4.607;12.659;23.282;12.6;17.393;11.385;15.315;4.724;15.57;3.81;5.705;8.641
PM2.5;uur;µg/m³;20220501 10:00;20220501 11:00;7;9.2;8.9;9.3;10;9.1;9.9;6.8;9.3;8.8;15.3;14.443;9.425;10.582;3.283;9.053;16.511;11.346;9.631;16.775;11.405;18.882;8.019;10.738;20.597;13.237;10.738;11.963;9.562;17.03;7.802;1.932;8.7;9.366
PM2.5;uur;µg/m³;20220501 11:00;20220501 12:00;7.8;9;8.2;8.7;9.4;8.5;10.4;6.5;10.2;8.4;18;12.13;13.316;17.265;4.859;15.413;12.502;6.646;9.357;12.385;23.616;18.725;6.74;13.081;11.63;14.952;14.257;9.523;8.51;10.003;4.956;6.407;5.647;8.501
PM2.5;uur;µg/m³;20220501 12:00;20220501 13:00;8.8;9.4;9.2;7.8;7.8;7.8;9.1;5.2;7.2;8.2;14.5;15.011;9.063;7.171;5.988;18.226;11.738;15.158;9.366;11.444;12.845;14.884;7.422;11.424;6.635;20.313;22.057;8.494;7.67;11.258;5.108;10.258;3.873;5.767
PM2.5;uur;µg/m³;20220501 13:00;20220501 14:00;8.8;9.4;8.7;8.1;6.1;7;8.1;5.8;11.6;8;12.1;12.522;19.607;15.648;16.501;18.431;15.932;4.292;11.993;9.072;8.371;7.695;8.277;9.984;5.11;19.666;18.333;9.67;6.338;14.492;12.532;0.754;6.065;6.647
PM2.5;uur;µg/m³;20220501 14:00;20220501 15:00;8.3;8.8;7.6;7.3;7.4;6.8;7;10.6;10.6;8;11.2;10.15;12.287;13.061;8.498;8.647;15.746;4.661;7.852;9.513;7.854;7.519;7.216;16.04;3.003;13.933;15.305;9.798;8.137;11.875;10.307;4.399;8.646;4.893
